year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,197,891,81.89
2004,1087,199,888,81.69
2005,1038,185,853,82.18
2006,1069,179,890,83.26
2007,1058,148,910,86.01
2008,1061,143,918,86.52
2009,1094,152,942,86.11
2010,1050,132,918,87.43
2011,1057,116,941,89.03
2012,1059,111,948,89.52
2013,1042,95,947,90.88
2014,1014,90,924,91.12
2015,1011,83,928,91.79
2016,1076,71,1005,93.40
2017,1043,58,985,94.44
2018,1090,53,1037,95.14
2019,1038,51,987,95.09
2020,967,34,933,96.48
